0|1018330468485251|2.52
1|1018330487840126|2.44
2|1018330508012667|2.44
3|1018330527894459|2.37
4|1018330547903417|2.34
5|1018330567905584|2.44
6|1018330587865126|2.53
7|1018330607992876|2.61
8|1018330628054542|2.59
9|1018330648046626|2.41
10|1018330667882542|2.17
11|1018330688018084|1.98
12|1018330707901834|1.78
13|1018330727888501|1.62
14|1018330748525876|1.45
15|1018330767930876|1.24
16|1018330788102084|1.01
17|1018330808120293|0.99
18|1018330827943001|0.97
19|1018330847981501|0.95
20|1018330868073668|0.99
21|1018330888114001|1.08
22|1018330907917793|1.09
23|1018330928027626|1.30
24|1018330947937251|1.64
25|1018330968197126|1.51
26|1018330988175043|1.26
27|1018331007923168|1.17
28|1018331028076668|1.20
29|1018331048081584|1.23
30|1018331068571584|1.13
31|1018331088773709|1.06
32|1018331108789334|1.08
33|1018331129214668|1.03
34|1018331148132793|0.80
35|1018331170681459|0.57
36|1018331188215584|0.77
37|1018331208189501|1.00
38|1018331228301834|1.36
39|1018331248540918|1.35
40|1018331268268293|1.36
41|1018331288702126|1.60
42|1018331308394084|1.80
43|1018331328364918|1.77
44|1018331348366668|1.44
45|1018331368593043|1.00
46|1018331388351584|0.56
47|1018331409031334|0.36
48|1018331428740709|0.54
49|1018331448918960|0.77
50|1018331469439585|0.83
51|1018331488639918|0.82
52|1018331508653793|0.75
53|1018331529083960|0.74
54|1018331548266793|1.04
55|1018331569338335|1.71
56|1018331589578626|2.46
57|1018331609969960|3.02
58|1018331628245418|2.93
59|1018331650061751|2.44
60|1018331668238751|1.83
61|1018331688328626|1.42
62|1018331708446126|1.27
63|1018331729212501|1.26
64|1018331748263085|1.20
65|1018331768439168|0.94
66|1018331788426793|0.66
67|1018331809063251|0.74
68|1018331828632210|1.17
69|1018331848606043|1.67
70|1018331868749126|1.95
71|1018331888449210|1.97
72|1018331908574293|1.67
73|1018331929030626|1.34
74|1018331948496168|1.15
75|1018331968554168|1.12
76|1018331988664335|1.15
77|1018332009354085|1.06
78|1018332028496751|0.94
79|1018332048408501|0.97
80|1018332069082251|1.11
81|1018332088490876|1.11
82|1018332108662293|1.06
83|1018332129178876|1.08
