W|0.00
W|0.44
W|0.62
W|0.39
W|0.39
W|0.59
W|0.47
W|0.35
W|0.42
W|0.42
W|0.35
W|0.35
W|0.40
W|0.39
W|0.69
W|0.59
W|0.65
W|0.57
W|0.46
W|0.69
W|0.46
W|0.41
W|0.59
W|0.49
W|0.43
W|0.43
W|0.50
W|0.51
W|0.46
W|0.58
W|0.62
W|0.65
W|0.69
W|0.51
W|0.57
W|0.75
W|0.37
W|0.43
W|0.57
W|0.45
W|0.60
W|0.61
W|0.50
W|0.61
W|0.52
W|0.34
W|0.52
W|0.54
W|0.39
W|0.54
W|0.29
W|0.40
W|0.54
W|0.35
W|0.38
W|0.59
W|0.47
W|0.35
W|0.67
W|0.75
W|0.62
W|0.60
W|0.56
W|0.21
W|0.36
W|0.44
W|0.37
W|0.43
W|0.41
W|0.41
W|0.47
W|0.32
W|0.53
W|0.52
W|0.46
W|0.55
W|0.43
W|0.32
W|0.33
W|0.34
W|0.53
W|0.58
W|0.35
W|0.29
W|0.55
W|0.50
W|0.35
W|0.26
W|0.27
W|0.20
W|0.32
W|0.38
W|0.56
W|0.57
W|0.73
W|0.69
W|0.60
W|0.32
W|0.55
W|0.47
W|0.48
W|0.53
W|0.38
W|0.38
W|0.32
W|0.34
W|0.57
W|0.40
W|0.54
W|0.59
W|0.34
W|0.42
W|0.28
W|0.24
W|0.34
W|0.30
W|0.31
W|0.28
W|0.44
W|0.52
W|0.55
W|0.68
W|0.58
W|0.55
W|0.76
W|0.81
W|0.78
W|0.74
W|0.70
W|0.63
W|0.69
W|0.51
W|0.31
W|0.38
W|0.54
W|0.47
W|0.39
W|0.44
W|0.53
W|0.51
W|0.50
W|0.54
W|0.65
W|0.76
W|0.45
W|0.56
W|0.36
W|0.31
W|0.29
W|0.41
W|0.43
W|0.45
W|0.40
W|0.47
W|0.57
W|0.44
W|0.56
W|0.64
W|0.56
W|0.66
W|0.57
W|0.68
W|0.62
W|0.58
W|0.54
W|0.42
W|0.43
W|0.36
W|0.44
W|0.28
W|0.40
W|0.35
W|0.33
W|0.48
W|0.42
W|0.33
W|0.42
W|0.41
W|0.46
W|0.48
W|0.30
W|0.50
W|0.42
W|0.38
W|0.46
W|0.48
W|0.49
W|0.56
W|0.58
W|0.53
W|0.45
W|0.41
W|0.25
W|0.45
W|0.48
W|0.59
W|0.59
W|0.29
W|0.39
W|0.31
W|0.34
W|0.33
W|0.31
W|0.37
W|0.37
W|0.33
W|0.40
W|0.28
W|0.29
W|0.46
W|0.42
W|0.59
W|0.46
W|0.41
W|0.41
W|0.32
W|0.46
W|0.30
W|0.29
W|0.20
W|0.39
W|0.37
W|0.20
W|0.31
W|0.25
W|0.31
W|0.33
W|0.25
W|0.39
W|0.37
W|0.23
W|0.32
W|0.30
W|0.20
W|0.29
W|0.28
W|0.21
W|0.23
W|0.35
W|0.37
W|0.30
W|0.31
W|0.33
W|0.26
W|0.29
W|0.28
W|0.26
W|0.25
W|0.27
W|0.16
W|0.22
W|0.29
W|0.31
W|0.36
W|0.32
W|0.30
W|0.36
W|0.21
W|0.27
S|0.00
S|0.15
S|0.21
S|0.16
S|0.11
S|0.09
S|0.05
S|0.08
S|0.06
S|0.08
S|0.08
S|0.06
S|0.02
S|0.06
S|0.14
S|0.11
S|0.11
S|0.21
S|0.18
S|0.12
S|0.04
S|0.05
S|0.07
S|0.17
S|0.08
S|0.06
S|0.03
S|0.03
S|0.05
S|0.07
S|0.07
S|0.05
S|0.04
S|0.04
S|0.04
S|0.06
S|0.10
S|0.08
S|0.02
S|0.02
S|0.05
S|0.03
S|0.03
S|0.06
S|0.04
S|0.04
S|0.06
S|0.06
S|0.04
S|0.05
S|0.03
S|0.02
S|0.02
S|0.02
S|0.03
S|0.04
S|0.05
S|0.04
S|0.03
S|0.04
S|0.04
S|0.04
S|0.01
S|0.04
S|0.02
S|0.03
S|0.03
S|0.06
S|0.07
S|0.03
S|0.07
S|0.03
S|0.02
S|0.08
