7a:53:d4:d6:fe:70|-90.0|roomA
7a:53:d4:d6:fe:70|-85.0|roomB
7a:53:d4:d6:fe:70|-82.0|roomB
7a:53:d4:d6:fe:70|-87.0|roomB
7a:53:d4:d6:fe:70|-85.0|roomB
7a:53:d4:d6:fe:70|-93.0|roomB
7a:53:d4:d6:fe:70|-87.0|roomB
7a:53:d4:d6:fe:70|-89.0|roomB
7a:53:d4:d6:fe:70|-87.0|roomB
7a:53:d4:d6:fe:70|-91.0|roomB
cc:af:78:86:62:73|-89.0|roomA
cc:af:78:86:62:73|-90.0|roomA
cc:af:78:86:62:73|-92.0|roomA
cc:af:78:86:62:73|-85.0|roomA
cc:af:78:86:62:73|-87.0|roomA
cc:af:78:86:62:73|-87.0|roomB
cc:af:78:86:62:73|-88.0|roomB
cc:af:78:86:62:73|-82.0|roomB
cc:af:78:86:62:73|-82.0|roomB
cc:af:78:86:62:73|-88.0|roomB
cc:af:78:86:62:73|-79.0|roomB
cc:af:78:86:62:73|-90.0|roomB
cc:af:78:86:62:73|-87.0|roomB
cc:af:78:86:62:73|-89.0|roomB
e8:8d:28:5b:e1:df|-92.0|roomA
e8:8d:28:5b:e1:df|-90.0|roomA
e8:8d:28:5b:e1:df|-92.0|roomA
e8:8d:28:5b:e1:df|-92.0|roomA
e8:8d:28:5b:e1:df|-88.0|roomA
e8:8d:28:5b:e1:df|-88.0|roomA
e8:8d:28:5b:e1:df|-90.0|roomA
e8:8d:28:5b:e1:df|-90.0|roomA
e8:8d:28:5b:e1:df|-91.0|roomA
e8:8d:28:5b:e1:df|-91.0|roomA
34:4d:ea:89:3b:f8|-92.0|roomB
34:4d:ea:89:3b:f8|-93.0|roomB
34:4d:ea:89:3b:f8|-93.0|roomB
b2:c2:87:78:53:73|-70.0|roomA
b2:c2:87:78:53:73|-69.0|roomA
b2:c2:87:78:53:73|-64.0|roomA
b2:c2:87:78:53:73|-68.0|roomA
b2:c2:87:78:53:73|-57.0|roomA
b2:c2:87:78:53:73|-61.0|roomA
b2:c2:87:78:53:73|-62.0|roomA
b2:c2:87:78:53:73|-72.0|roomA
b2:c2:87:78:53:73|-78.0|roomA
b2:c2:87:78:53:73|-72.0|roomA
b2:c2:87:78:53:73|-68.0|roomA
b2:c2:87:78:53:73|-68.0|roomA
e0:91:f5:ad:14:e2|-92.0|roomB
e0:91:f5:ad:14:e2|-91.0|roomB
7a:53:d4:d6:fe:72|-88.0|roomA
7a:53:d4:d6:fe:72|-86.0|roomB
7a:53:d4:d6:fe:72|-83.0|roomB
7a:53:d4:d6:fe:72|-86.0|roomB
7a:53:d4:d6:fe:72|-85.0|roomB
7a:53:d4:d6:fe:72|-85.0|roomB
7a:53:d4:d6:fe:72|-89.0|roomB
7a:53:d4:d6:fe:72|-88.0|roomB
7a:53:d4:d6:fe:72|-91.0|roomB
52:8a:4c:af:ce:8c|-90.0|roomB
52:8a:4c:af:ce:8c|-90.0|roomB
50:7e:5d:4a:cd:93|-91.0|roomB
26:b6:c4:ea:e1:a0|-93.0|roomA
26:b6:c4:ea:e1:a0|-91.0|roomA
26:b6:c4:ea:e1:a0|-93.0|roomB
26:b6:c4:ea:e1:a0|-92.0|roomB
26:b6:c4:ea:e1:a0|-92.0|roomB
26:b6:c4:ea:e1:a0|-88.0|roomB
3a:60:77:19:aa:74|-56.0|roomA
3a:60:77:19:aa:74|-55.0|roomA
3a:60:77:19:aa:74|-56.0|roomA
3a:60:77:19:aa:74|-67.0|roomA
3a:60:77:19:aa:74|-60.0|roomA
3a:60:77:19:aa:74|-58.0|roomA
3a:60:77:19:aa:74|-66.0|roomA
3a:60:77:19:aa:74|-52.0|roomA
3a:60:77:19:aa:74|-50.0|roomA
3a:60:77:19:aa:74|-51.0|roomA
3a:60:77:19:aa:74|-58.0|roomA
3a:60:77:19:aa:74|-58.0|roomA
3a:60:77:19:aa:74|-92.0|roomB
3a:60:77:19:aa:74|-89.0|roomB
3a:60:77:19:aa:74|-82.0|roomB
3a:60:77:19:aa:74|-86.0|roomB
3a:60:77:19:aa:74|-87.0|roomB
3a:60:77:19:aa:74|-85.0|roomB
