1462027245979|1.40|-1.76|1.39
1462027245993|1.32|-1.70|1.20
1462027246014|1.24|-1.63|1.02
1462027246040|1.24|-1.54|0.91
1462027246056|1.32|-1.42|0.81
1462027246074|1.34|-1.28|0.69
1462027246094|1.33|-1.17|0.59
1462027246117|1.30|-1.08|0.54
1462027246139|1.24|-1.01|0.54
1462027246158|1.36|-0.90|0.54
1462027246181|1.45|-0.83|0.54
1462027246201|1.40|-0.76|0.57
1462027246222|1.37|-0.72|0.61
1462027246244|1.27|-0.64|0.58
1462027246266|1.16|-0.57|0.48
1462027246286|1.04|-0.52|0.39
1462027246308|0.93|-0.46|0.39
1462027246330|0.81|-0.44|0.34
1462027246351|0.68|-0.39|0.21
1462027246373|0.59|-0.34|0.05
1462027246395|0.51|-0.28|-0.00
1462027246415|0.42|-0.26|-0.02
1462027246437|0.31|-0.26|0.01
1462027246458|0.19|-0.30|0.04
1462027246479|0.06|-0.33|0.07
1462027246501|0.02|-0.38|0.15
1462027246523|0.06|-0.38|0.19
1462027246543|0.07|-0.37|0.18
1462027246565|0.01|-0.38|0.14
1462027246587|-0.04|-0.38|0.07
1462027246607|-0.05|-0.33|0.01
1462027246629|-0.03|-0.28|-0.01
1462027246650|0.06|-0.23|0.01
1462027246671|0.10|-0.22|0.07
1462027246693|0.04|-0.27|0.14
1462027246716|-0.02|-0.35|0.19
1462027246736|-0.01|-0.39|0.23
1462027246758|0.03|-0.41|0.18
1462027246780|0.04|-0.39|0.07
1462027246801|0.01|-0.39|0.01
1462027246823|-0.04|-0.38|0.01
1462027246844|-0.06|-0.35|0.03
1462027246865|-0.04|-0.29|0.04
1462027246886|-0.01|-0.22|0.04
1462027246908|-0.00|-0.13|0.03
1462027246928|-0.01|-0.09|0.07
1462027246950|-0.04|-0.08|0.13
1462027246972|-0.06|-0.08|0.20
1462027246992|-0.00|-0.08|0.22
1462027247014|0.06|-0.04|0.17
1462027247036|0.07|0.01|0.07
1462027247056|0.09|0.04|-0.05
1462027247078|0.06|0.05|-0.11
1462027247100|0.04|0.02|-0.07
1462027247120|0.02|0.02|-0.02
1462027247141|0.05|0.05|-0.06
1462027247163|0.05|0.08|-0.07
1462027247183|0.02|0.07|0.00
1462027247204|-0.04|0.01|0.15
1462027247226|-0.08|-0.05|0.29
1462027247249|-0.05|-0.10|0.36
1462027247267|0.02|-0.12|0.37
1462027247290|0.02|-0.15|0.31
1462027247312|-0.01|-0.19|0.22
1462027247332|-0.05|-0.20|0.12
1462027247353|-0.07|-0.18|0.05
1462027247374|-0.06|-0.13|-0.02
1462027247395|-0.05|-0.06|-0.11
1462027247417|-0.06|0.01|-0.15
1462027247437|-0.08|0.04|-0.13
1462027247459|-0.09|0.08|-0.10
1462027247482|-0.07|0.11|-0.11
1462027247504|-0.04|0.13|-0.11
1462027247522|-0.05|0.12|-0.10
1462027247544|-0.07|0.10|-0.12
1462027247564|-0.08|0.06|-0.12
1462027247586|-0.10|0.01|-0.11
1462027247607|-0.15|-0.07|-0.07
1462027247628|-0.18|-0.11|-0.02
1462027247649|-0.15|-0.14|0.01
1462027247674|-0.08|-0.14|0.02
1462027247698|-0.01|-0.18|0.06
1462027247716|-0.01|-0.22|0.11
1462027247737|0.03|-0.26|0.10
1462027247758|0.12|-0.26|0.05
1462027247782|0.18|-0.25|0.00
1462027247800|0.18|-0.26|-0.03
1462027247820|0.18|-0.28|-0.04
1462027247842|0.17|-0.30|-0.00
1462027247863|0.15|-0.30|0.07
1462027247883|0.18|-0.26|0.14
1462027247904|0.22|-0.20|0.14
1462027247925|0.20|-0.15|0.15
1462027247946|0.21|-0.13|0.18
1462027247970|0.18|-0.11|0.22
1462027247990|0.14|-0.09|0.26
1462027248011|0.13|-0.09|0.25
1462027248033|0.12|-0.07|0.22
1462027248054|0.13|-0.05|0.17
1462027248074|0.11|-0.02|0.14
1462027248095|0.09|-0.01|0.12
1462027248117|0.07|0.00|0.11
1462027248137|0.06|-0.01|0.11
1462027248160|0.03|-0.01|0.12
1462027248182|0.02|-0.03|0.13
1462027248205|0.04|-0.02|0.13
1462027248223|0.01|-0.01|0.08
1462027248245|-0.12|0.00|0.01
1462027248265|-0.21|0.00|-0.04
1462027248287|-0.27|0.00|-0.05
1462027248308|-0.30|0.00|0.00
1462027248329|-0.31|-0.00|0.05
1462027248351|-0.34|0.01|0.02
1462027248373|-0.35|0.01|-0.02
1462027248393|-0.33|0.00|0.00
1462027248417|-0.28|-0.03|0.12
1462027248439|-0.23|-0.05|0.18
1462027248459|-0.16|-0.03|0.16
1462027248480|-0.08|0.05|0.09
1462027248502|0.00|0.09|0.03
1462027248524|-0.01|0.10|-0.00
1462027248544|-0.05|0.08|-0.03
1462027248566|-0.06|0.10|-0.08
1462027248587|-0.03|0.12|-0.14
1462027248608|0.06|0.14|-0.10
1462027248629|0.07|0.08|-0.02
1462027248649|-0.02|0.03|0.02
1462027248673|0.01|0.03|0.01
1462027248693|0.05|0.05|0.01
1462027248716|0.10|0.05|0.02
1462027248737|0.14|0.03|0.04
1462027248757|0.15|-0.02|0.10
1462027248778|0.21|-0.05|0.14
1462027248800|0.31|-0.04|0.11
1462027248823|0.40|-0.00|0.04
1462027248842|0.45|0.01|0.00
1462027248863|0.47|0.01|-0.03
1462027248884|0.46|0.02|-0.06
1462027248908|0.50|0.01|-0.05
1462027248927|0.54|-0.01|0.02
1462027248950|0.55|-0.03|0.08
1462027248969|0.52|-0.05|0.05
1462027248990|0.45|-0.05|-0.00
1462027249014|0.36|-0.04|-0.02
1462027249035|0.28|-0.04|0.06
1462027249056|0.20|-0.03|0.10
1462027249077|0.09|0.02|0.01
1462027249097|-0.02|0.12|-0.16
1462027249120|-0.09|0.17|-0.20
1462027249142|-0.17|0.17|-0.11
1462027249161|-0.25|0.13|0.03
1462027249186|-0.32|0.09|0.14
1462027249208|-0.33|0.06|0.18
1462027249224|-0.30|0.05|0.15
1462027249246|-0.32|0.04|0.11
1462027249267|-0.40|-0.01|0.04
1462027249290|-0.46|-0.05|-0.02
1462027249310|-0.48|-0.06|-0.06
1462027249331|-0.46|-0.04|-0.09
1462027249352|-0.42|0.00|-0.11
1462027249374|-0.42|0.00|-0.09
1462027249399|-0.45|-0.04|0.02
1462027249417|-0.42|-0.07|0.12
1462027249437|-0.35|-0.08|0.19
1462027249459|-0.24|-0.07|0.19
1462027249480|-0.15|-0.04|0.13
1462027249502|-0.06|-0.03|0.06
1462027249533|0.02|-0.04|0.03
1462027249535|0.07|-0.05|0.00
1462027249547|0.14|-0.08|0.02
1462027249567|0.22|-0.09|0.02
1462027249589|0.26|-0.09|0.03
1462027249611|0.25|-0.12|0.04
1462027249631|0.23|-0.16|0.07
1462027249652|0.26|-0.17|0.14
1462027249673|0.27|-0.17|0.24
1462027249695|0.26|-0.19|0.30
1462027249716|0.26|-0.19|0.31
1462027249737|0.22|-0.19|0.28
1462027249759|0.25|-0.15|0.21
1462027249781|0.32|-0.09|0.14
1462027249802|0.36|-0.03|0.11
1462027249823|0.35|0.00|0.09
